algo,trial,avg_response_us
RR,1,743059.25
RR,2,742740.75
RR,3,732809.00
RR,4,731586.75
RR,5,721304.75
RR,6,715819.50
RR,7,725918.50
RR,8,738567.00
RR,9,730689.00
RR,10,712918.75
FCFS,1,437780.25
FCFS,2,441921.00
FCFS,3,426765.50
FCFS,4,425954.25
FCFS,5,434391.25
FCFS,6,425254.50
FCFS,7,433352.75
FCFS,8,446183.75
FCFS,9,429821.00
FCFS,10,438278.75
SJF,1,427117.50
SJF,2,426494.50
SJF,3,424733.75
SJF,4,426074.25
SJF,5,429275.50
SJF,6,424775.50
SJF,7,424585.00
SJF,8,426128.75
SJF,9,422235.50
SJF,10,426671.50
MLFQ,1,1160686.25
MLFQ,2,1149695.00
MLFQ,3,1148156.00
MLFQ,4,1157213.25
MLFQ,5,1162200.00
MLFQ,6,1185604.50
MLFQ,7,1167360.00
MLFQ,8,1184986.25
MLFQ,9,1168681.50
MLFQ,10,1161510.00
